      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
          Ex_d3       6           1.40000     1.37001     0.00007    -0.02999   0.05000   0.00002      20.64870     1.98824
          Ex_d3       7           1.60000     1.57000     0.00001    -0.03000   0.05000   0.00001       0.00001     0.57871
          Ex_d3       8           1.90000     1.92924     0.00660     0.02924   0.05000   0.00001       0.03721     0.09377
          Ex_d3       9           1.70081     1.70248     0.02305     0.00167   0.05000   0.00001       0.09251     0.20830
          Ex_d3      10           2.10061     2.13061     0.00001     0.03000   0.05000   0.00001       0.08609     0.17140
          Ex_d3      11           2.52335     2.49335     0.00003    -0.03000   0.05000   0.00005       0.07116     0.14826
          Ex_d3      12           3.06184     3.08322     0.03195     0.02138   0.09427   0.02261       0.20842     0.22469
          Ex_d3      13           3.13387     3.10398     0.04776    -0.02989   0.05001   0.00019       4.41072     2.65059
          Ex_d3      14           3.35820     3.34437     0.03878    -0.01383   0.09749   0.04564       2.03542     1.68910
          Ex_d3      15           3.72419     3.70199     0.04879    -0.02220   0.05000   0.00014       0.98746     0.69002
          Ex_d3      16           3.83917     3.81650     0.04992    -0.02267   0.05003   0.00014       1.63421     1.90270
          Ex_d3      17           3.83917     3.84327     0.04181     0.00410   0.07933   0.02221       0.51568     2.03427
          Ex_d3      18           4.11590     4.11052     0.00722    -0.00538   0.06429   0.00838       9.38899     3.86365
          Ex_d3      19           4.22580     4.25438     0.00953     0.02858   0.05015   0.00054      14.38530     2.33722
          Ex_d3      20           4.36015     4.33015     0.00011    -0.03000   0.05000   0.00004       2.32100     1.04016
          Ex_d3      21           4.39810     4.42810     0.00011     0.03000   0.07661   0.02536       0.23133     0.65564
          Ex_d3      22           4.65200     4.63026     0.00833    -0.02174   0.05626   0.00580       1.56955     0.83049
          Ex_d3      23           4.75300     4.72302     0.00018    -0.02998   0.05309   0.04165      19.97310     3.28947
          Ex_d3      24           4.84830     4.81830     0.00038    -0.03000   0.05000   0.00012       6.41742     5.62160
          Ex_d3      25           4.86000     4.88998     0.00021     0.02998   0.05007   0.00016       0.68253     2.32345
          Ex_d3      26           4.96360     4.94431     0.01229    -0.01929   0.06773   0.01026       0.07992     1.78746
          Ex_d3      27           5.29760     5.29314     0.02008    -0.00446   0.05993   0.01579       9.58732     1.89356
          Ex_d4       1           0.00000    -0.02988     0.00037    -0.02988   0.05000   0.00010       0.95020     0.44417
          Ex_d4       2           0.93720     0.91114     0.05171    -0.02606   0.05000   0.00021       0.02482     0.48037
          Ex_d4       3           1.04155     1.01389     0.04015    -0.02766   0.05000   0.00020       0.23472     0.32375
          Ex_d4       4           1.12136     1.11054     0.00224    -0.01082   0.05000   0.00030       0.44262     0.62426
          Ex_d4       5           1.12136     1.15136     0.00048     0.03000   0.10466   0.02076       0.00041     0.46221
          Ex_d4       6           1.40000     1.37000     0.00852    -0.03000   0.05001   0.00095       6.32860     1.57144
          Ex_d4       7           1.60000     1.57000     0.00014    -0.03000   0.05000   0.00005       1.41535     0.56232
          Ex_d4       8           1.90000     1.92888     0.00321     0.02888   0.05748   0.05781       0.22218     0.17913
          Ex_d4       9           1.70081     1.73081     0.00031     0.03000   0.05000   0.00006       0.79168     1.21175
          Ex_d4      10           2.10061     2.07490     0.05779    -0.02571   0.11651   0.06618       0.36476     0.33581
          Ex_d4      11           2.52335     2.51949     0.01609    -0.00386   0.11044   0.03565       0.98020     1.03331
          Ex_d4      12           3.06184     3.03184     0.05907    -0.03000   0.05000   0.05679       0.42177     0.50607
          Ex_d4      13           3.13387     3.16387     0.03738     0.03000   0.05146   0.01461       1.39194     1.63055
          Ex_d4      14           3.35820     3.38814     0.04641     0.02994   0.05000   0.00024       1.72243     0.65058
          Ex_d4      15           3.72419     3.75138     0.04703     0.02719   0.05000   0.00037       0.58925     0.25028
          Ex_d4      16           3.83917     3.82149     0.00055    -0.01768   0.05000   0.00041       1.26235     0.59744
          Ex_d4      17           3.83917     3.86917     0.04171     0.03000   0.05244   0.00735       0.03565     0.50795
          Ex_d4      18           4.11590     4.10093     0.03750    -0.01497   0.06307   0.01886       4.90537     1.01399
          Ex_d4      19           4.22580     4.19851     0.05191    -0.02729   0.06685   0.02430       3.82191     1.75880
          Ex_d4      20           4.36015     4.33015     0.00049    -0.03000   0.05000   0.00017       3.37147     1.94928
          Ex_d4      21           4.39810     4.42810     0.00038     0.03000   0.11999   0.06877       0.01485     0.50101
          Ex_d4      22           4.65200     4.66143     0.00730     0.00943   0.06415   0.00678       1.69222     1.15722
          Ex_d4      23           4.75300     4.72300     0.00067    -0.03000   0.05000   0.00061       9.35112     1.48892
          Ex_d4      24           4.86000     4.87830     0.00143     0.01830   0.05001   0.00036       0.02624     0.65163
          Ex_d4      25           4.86000     4.89000     0.00082     0.03000   0.05020   0.00057       0.00059     0.52479
          Ex_d4      26           4.96360     4.95204     0.01029    -0.01156   0.07861   0.01310       0.00097     0.77729
          Ex_d4      27           5.29760     5.31820     0.04870     0.02060   0.06508   0.04217       5.84754     1.39329
          Ex_d5       1           0.93720     0.90720     0.03729    -0.03000   0.05003   0.04467       0.55674     0.47957
          Ex_d5       2           1.04155     1.01864     0.03821    -0.02291   0.05000   0.04355       0.20726     0.29050
          Ex_d5       3           1.12136     1.10839     0.03195    -0.01297   0.05000   0.04342       0.03147     0.71508
          Ex_d5       4           1.12136     1.15136     0.03725     0.03000   0.09609   0.01439       0.00002     0.23402
          Ex_d5       5           1.40000     1.42315     0.04428     0.02315   0.05000   0.04345       3.19238     0.78689
          Ex_d5       6           1.60000     1.61682     0.04847     0.01682   0.05000   0.04345       0.55050     0.55031
          Ex_d5       7           1.90000     1.87000     0.03813    -0.03000   0.05000   0.04346       0.37130     0.43275
          Ex_d5       8           1.70081     1.70080     0.04034    -0.00001   0.08976   0.04749       0.32283     0.45663
          Ex_d5       9           2.10061     2.13061     0.03725     0.03000   0.11880   0.04369       0.15790     0.39554
          Ex_d5      10           2.52335     2.55335     0.03737     0.03000   0.11998   0.04921       0.43177     0.33055
          Ex_d5      11           3.06184     3.09049     0.04472     0.02865   0.05000   0.04345       0.35310     0.32119
          Ex_d5      12           3.13387     3.10981     0.04931    -0.02406   0.11932   0.04837       1.07430     1.13362
          Ex_d5      13           3.35820     3.33026     0.04941    -0.02794   0.11996   0.04497       0.96495     1.24818
          Ex_d5      14           3.72419     3.69440     0.04544    -0.02979   0.11930   0.06889       1.10107     0.89020
          Ex_d5      15           3.83917     3.82149     0.03723    -0.01768   0.05000   0.04342       0.92831     0.86018
          Ex_d5      16           3.83917     3.86917     0.01304     0.03000   0.09176   0.01931       0.00002     0.34675
          Ex_d5      17           4.11590     4.14590     0.03729     0.03000   0.05070   0.04095       4.31836     1.21829
          Ex_d5      18           4.22580     4.24854     0.05621     0.02274   0.06147   0.01868       4.26644     3.63080
          Ex_d5      19           4.36015     4.33015     0.03725    -0.03000   0.05000   0.04346       1.66761     0.84784
          Ex_d5      20           4.39810     4.42810     0.03726     0.03000   0.05000   0.04346       0.18066     0.80654
          Ex_d5      21           4.65200     4.62220     0.04731    -0.02980   0.09506   0.01561       0.00000     0.20970
          Ex_d5      22           4.75300     4.72300     0.03724    -0.03000   0.05000   0.04339       4.08214     1.09084
          Ex_d5      23           4.84830     4.83587     0.05051    -0.01243   0.05000   0.04342       2.83753     2.57424
          Ex_d5      24           4.86000     4.89000     0.03725     0.03000   0.11947   0.06974       0.85514     1.13314
          Ex_d5      25           4.96360     4.97926     0.01802     0.01566   0.07518   0.01502       0.00891     2.59482
          Ex_d5      26           5.29760     5.26760     0.03724    -0.03000   0.05000   0.04346       4.68364     1.27289

