      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
          Ex_d4       2           0.93720     0.96720     0.05707     0.03000   0.06817   0.02386       0.06664     0.48979
          Ex_d4       3           1.08054     1.06541     0.04859    -0.01513   0.11999   0.06859       0.53909     0.32536
          Ex_d4       4           1.12136     1.15136     0.03843     0.03000   0.10627   0.00738       0.00000     3.10412
          Ex_d4       5           1.40000     1.37000     0.00422    -0.03000   0.05000   0.00236       6.47854     0.67498
          Ex_d4       6           1.60000     1.57000     0.04067    -0.03000   0.05000   0.04476       1.37396     0.28609
          Ex_d4       7           1.90000     1.93000     0.04214     0.03000   0.12000   0.04722       0.20830     0.23511
          Ex_d4       8           1.70081     1.71222     0.05020     0.01141   0.05000   0.05105       0.97442     0.70320
          Ex_d4       9           2.52335     2.49335     0.04543    -0.03000   0.12000   0.05149       0.16996     0.26163
          Ex_d4      10           3.06184     3.09184     0.04250     0.03000   0.09446   0.00910       0.58418     0.48117
          Ex_d4      11           3.35820     3.38820     0.00954     0.03000   0.05000   0.00958       3.13342     0.47240
          Ex_d4      12           3.72419     3.75419     0.05791     0.03000   0.05000   0.06275       0.53974     0.20305
          Ex_d4      13           3.83917     3.86917     0.03708     0.03000   0.05021   0.04633       1.36405     1.73381
          Ex_d4      14           4.11590     4.14229     0.00660     0.02639   0.08293   0.00493       4.73514     4.38976
          Ex_d4      15           4.39810     4.39015     0.05510    -0.00795   0.12000   0.06202       7.12026     0.66516
          Ex_d4      16           4.65200     4.65973     0.00438     0.00773   0.06488   0.00340       1.67833     0.93395
          Ex_d4      17           4.75300     4.72300     0.03055    -0.03000   0.12000   0.05479       9.24200     0.76653
          Ex_d4      18           4.96360     4.95392     0.00663    -0.00968   0.07636   0.00589       0.44668     0.67859
          Ex_d4      19           5.29760     5.31899     0.04582     0.02139   0.06856   0.02397       5.69464     0.63582
          Ex_d5       1           0.93720     0.90720     0.04938    -0.03000   0.05000   0.05754       0.56467     0.28561
          Ex_d5       2           1.04155     1.01215     0.05235    -0.02940   0.05000   0.05734       0.12146     0.23827
          Ex_d5       3           1.12136     1.15136     0.01091     0.03000   0.09211   0.01584       0.02058     1.30153
          Ex_d5       4           1.40000     1.42129     0.04419     0.02129   0.05000   0.01067       2.87928     0.76547
          Ex_d5       5           1.60000     1.62375     0.03107     0.02375   0.05000   0.01519       0.42368     0.26139
