      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
          Ex_d3       6           1.40000     1.40000     0.00000     0.00000   0.05000   0.05991      21.60700     1.80821
          Ex_d3       7           1.60000     1.60000     0.00000     0.00000   0.05000   0.05667       0.12151     0.31148
          Ex_d3       8           1.90000     1.90000     0.00000     0.00000   0.05000   0.05235       0.00000     1.02378
          Ex_d3       9           1.70081     1.70081     0.00000     0.00000   0.05000   0.05104       0.08189     0.29939
          Ex_d3      10           2.10061     2.10061     0.00000     0.00000   0.05000   0.05675       0.08170     0.21822
          Ex_d3      11           2.52335     2.52335     0.00000     0.00000   0.05000   0.04943       0.00089     6.46048
          Ex_d3      12           3.06184     3.06184     0.00000     0.00000   0.07492   0.01352       0.11502     0.20883
          Ex_d3      13           3.13387     3.13387     0.00000     0.00000   0.06214   0.02165       3.94884     1.24904
          Ex_d3      14           3.35820     3.35820     0.00000     0.00000   0.08777   0.02591       2.42415     1.25557
          Ex_d3      15           3.72419     3.72419     0.00000     0.00000   0.06211   0.02177       0.93210     0.46407
          Ex_d3      16           3.79149     3.79149     0.00000     0.00000   0.05000   0.05656       1.27432     1.50680
          Ex_d3      17           3.83917     3.83917     0.00000     0.00000   0.08969   0.02005       0.00000     2.80849
          Ex_d3      18           4.11590     4.11590     0.00000     0.00000   0.06426   0.01213      10.55410     2.65053
          Ex_d3      19           4.22580     4.22580     0.00000     0.00000   0.05786   0.05716      13.78230     3.01410
          Ex_d3      20           4.36015     4.36015     0.00000     0.00000   0.09477   0.05499       1.74830     2.38895
          Ex_d3      21           4.39810     4.39810     0.00000     0.00000   0.05387   0.04651       2.23663     1.53009
          Ex_d3      22           4.65200     4.65200     0.00000     0.00000   0.06907   0.00436       0.00000     2.23347
          Ex_d3      23           4.75300     4.75300     0.00000     0.00000   0.05000   0.05664      26.28640     2.43781
          Ex_d3      24           4.84830     4.84830     0.00000     0.00000   0.05000   0.05691       0.00000     1.80310
          Ex_d3      25           4.86000     4.86000     0.00000     0.00000   0.06277   0.02166       0.00000     4.01765
          Ex_d3      26           4.96360     4.96360     0.00000     0.00000   0.05927   0.00792       3.19176     1.48580
          Ex_d3      27           5.29760     5.29760     0.00000     0.00000   0.06115   0.01840       7.33472     1.63772
          Ex_d4       1           0.00000    -0.02959     0.04871    -0.02959   0.05000   0.05978       0.94545     0.47430
          Ex_d4       2           0.93720     0.93720     0.00000     0.00000   0.05000   0.05985       0.00000     2.26808
          Ex_d4       3           1.04155     1.04155     0.00000     0.00000   0.05000   0.05977       0.00000     0.17637
          Ex_d4       4           1.08054     1.08054     0.00000     0.00000   0.05000   0.05988       0.00000     0.30623
          Ex_d4       5           1.12136     1.12136     0.00000     0.00000   0.12000   0.04575       0.00000     0.30983
