      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
          Ex_d4       1           0.00000    -0.02998     0.00000    -0.02998   0.05000   0.00000       0.93953     0.41049
          Ex_d4       2           0.93720     0.90905     0.00000    -0.02815   0.05000   0.00000       0.00000     0.00000
          Ex_d4       3           1.04155     1.01381     0.00000    -0.02774   0.05000   0.00000       0.21892     0.00000
          Ex_d4       4           1.12136     1.15136     0.00000     0.03000   0.10436   0.00000       0.45334     0.00000
          Ex_d4       5           1.40000     1.37000     0.00000    -0.03000   0.05000   0.00000       6.29313     0.00000
          Ex_d4       6           1.60000     1.57000     0.00000    -0.03000   0.05000   0.00000       1.40575     0.00000
          Ex_d4       7           1.90000     1.93000     0.00000     0.03000   0.12000   0.00000       0.20179     0.00000
          Ex_d4       8           1.70081     1.71250     0.00000     0.01169   0.05000   0.00000       0.95062     0.00000
          Ex_d4       9           2.52335     2.49335     0.00000    -0.03000   0.12000   0.00000       0.16612     0.00000
          Ex_d4      10           3.06184     3.09184     0.00000     0.03000   0.09426   0.00000       0.56095     0.00000
          Ex_d4      11           3.35820     3.38820     0.00000     0.03000   0.05000   0.00000       3.11889     0.00000
          Ex_d4      12           3.72419     3.75419     0.00000     0.03000   0.05000   0.00000       0.53409     0.00000
          Ex_d4      13           3.83917     3.86917     0.00000     0.03000   0.05026   0.00000       1.35679     0.00000
          Ex_d4      14           4.11590     4.14229     0.00000     0.02639   0.08280   0.00000       4.73522     0.00000
          Ex_d4      15           4.39810     4.39015     0.00000    -0.00795   0.12000   0.00000       7.10653     0.00000
          Ex_d4      16           4.65200     4.66031     0.00000     0.00831   0.06577   0.00000       1.68345     0.00000
          Ex_d4      17           4.75300     4.72300     0.00000    -0.03000   0.10052   0.00000       9.55856     0.00000
          Ex_d4      18           4.96360     4.95241     0.00000    -0.01119   0.07769   0.00000       0.00002     0.00000
          Ex_d4      19           5.29760     5.31895     0.00000     0.02135   0.06609   0.00000       5.80909     0.00000
          Ex_d5       1           0.93720     0.90720     0.03315    -0.03000   0.05000   0.06078       0.55213     0.00000
          Ex_d5       2           1.04155     1.01155     0.03236    -0.03000   0.05000   0.05670       0.12592     0.24776
          Ex_d5       3           1.12136     1.15136     0.03748     0.03000   0.09241   0.01542       0.01916     1.50123
          Ex_d5       4           1.40000     1.42160     0.04729     0.02160   0.05000   0.01269       2.89903     0.76987
          Ex_d5       5           1.60000     1.62502     0.05247     0.02502   0.05000   0.04575       0.43004     0.27093
          Ex_d5       6           1.90000     1.87000     0.05771    -0.03000   0.05000   0.06948       0.32753     0.36763
          Ex_d5       7           1.70081     1.67105     0.05837    -0.02976   0.05412   0.06788       0.23826     0.45013
          Ex_d5       8           2.52335     2.55335     0.05012     0.03000   0.12000   0.01448       0.00000     0.61606
          Ex_d5       9           3.06184     3.09184     0.04683     0.03000   0.05863   0.01773       0.12359     0.23436
          Ex_d5      10           3.35820     3.32820     0.05241    -0.03000   0.12000   0.06794       1.61797     0.74881
          Ex_d5      11           3.72419     3.69419     0.05773    -0.03000   0.09016   0.05391       1.16941     0.77942
          Ex_d5      12           3.83917     3.86917     0.00930     0.03000   0.07588   0.01442       0.88022     0.79565
          Ex_d5      13           4.11590     4.14590     0.00233     0.03000   0.06311   0.01024       3.80631     1.07088
          Ex_d5      14           4.36015     4.33015     0.00796    -0.03000   0.05000   0.01198       5.29991     1.25358
          Ex_d5      15           4.65200     4.66671     0.03063     0.01471   0.10730   0.02029       0.60472     0.36173
          Ex_d5      16           4.75300     4.72300     0.05408    -0.03000   0.05000   0.06652       5.50948     2.34453
          Ex_d5      17           4.96360     4.97239     0.02151     0.00879   0.07866   0.01826       1.75929     3.01790
          Ex_d5      18           5.29760     5.26760     0.05967    -0.03000   0.05000   0.06931       4.79210     1.38095

