      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
          Ex_d3       6           1.40000     1.40000     0.00000     0.00000   0.12000   0.05723      21.51370     2.25614
          Ex_d3       7           1.60000     1.60000     0.00000     0.00000   0.05000   0.05954       0.36168     0.43652
          Ex_d3       8           1.90000     1.90000     0.00000     0.00000   0.05000   0.05449       0.00000     0.21703
          Ex_d3       9           1.70081     1.70081     0.00000     0.00000   0.05000   0.05213       0.08009     0.30422
          Ex_d3      10           2.10061     2.10061     0.00000     0.00000   0.12000   0.05928       0.07540     0.21731
          Ex_d3      11           2.52335     2.52335     0.00000     0.00000   0.05000   0.05054       0.08881     0.23636
          Ex_d3      12           3.06184     3.06184     0.00000     0.00000   0.07561   0.01369       0.12964     0.21954
          Ex_d3      13           3.13387     3.13387     0.00000     0.00000   0.06161   0.02164       3.99577     1.26295
          Ex_d3      14           3.35820     3.35820     0.00000     0.00000   0.08863   0.02635       2.39997     1.25195
          Ex_d3      15           3.72419     3.72419     0.00000     0.00000   0.06254   0.02246       0.95751     0.47290
          Ex_d3      16           3.79149     3.79149     0.00000     0.00000   0.05000   0.05976       1.27136     1.53317
          Ex_d3      17           3.83917     3.83917     0.00000     0.00000   0.08999   0.02040       0.00000     2.89936
          Ex_d3      18           4.11590     4.11590     0.00000     0.00000   0.06416   0.01233      10.59190     2.68839
          Ex_d3      19           4.22580     4.22580     0.00000     0.00000   0.05767   0.05841      13.77460     3.06054
          Ex_d3      20           4.36015     4.36015     0.00000     0.00000   0.09486   0.05563       1.75569     2.45089
          Ex_d3      21           4.39810     4.39810     0.00000     0.00000   0.06494   0.06225       2.25239     1.56045
          Ex_d3      22           4.65200     4.65200     0.00000     0.00000   0.06908   0.00443       0.00000     2.67164
          Ex_d3      23           4.75300     4.75300     0.00000     0.00000   0.05000   0.05972      26.29750     2.45720
          Ex_d3      24           4.84830     4.84830     0.00000     0.00000   0.05001   0.05944       0.00000     1.80418
          Ex_d3      25           4.86000     4.86000     0.00000     0.00000   0.06282   0.02202       0.00000     4.00651
          Ex_d3      26           4.96360     4.96360     0.00000     0.00000   0.05936   0.00796       3.19368     1.50087
          Ex_d3      27           5.29760     5.29760     0.00000     0.00000   0.06173   0.01897       7.34515     1.65007
          Ex_d4       1           0.00000    -0.02992     0.05022    -0.02992   0.05000   0.05976       0.95548     0.48526
          Ex_d4       2           0.93720     0.93720     0.00000     0.00000   0.05000   0.05971       0.00000     2.28902
          Ex_d4       3           1.04155     1.04155     0.00000     0.00000   0.05000   0.05976       0.00000     0.17637
          Ex_d4       4           1.08054     1.08054     0.00000     0.00000   0.05000   0.05972       0.00000     0.30633
          Ex_d4       5           1.12136     1.12136     0.00000     0.00000   0.12000   0.04575       0.00000     0.30994
          Ex_d4       6           1.40000     1.40000     0.00000     0.00000   0.05000   0.00848       7.10205     2.81505
          Ex_d4       7           1.60000     1.60000     0.00000     0.00000   0.05842   0.05655       0.78385     0.34192
          Ex_d4       8           1.90000     1.90000     0.00000     0.00000   0.11181   0.06393       0.15853     0.27016
          Ex_d4       9           1.70081     1.70081     0.00000     0.00000   0.05000   0.05524       0.59274     0.76185
          Ex_d4      10           2.10061     2.10061     0.00000     0.00000   0.12000   0.05864       0.12898     0.33067
          Ex_d4      11           2.52335     2.52335     0.00000     0.00000   0.11906   0.05496       0.75535     0.64933
          Ex_d4      12           3.06184     3.06184     0.00000     0.00000   0.09916   0.02390       0.40626     0.47501
          Ex_d4      13           3.13387     3.13387     0.00000     0.00000   0.06642   0.01982       2.04315     1.18086
          Ex_d4      14           3.35820     3.35820     0.00000     0.00000   0.05000   0.04987       1.12956     0.91011
          Ex_d4      15           3.72419     3.72419     0.00000     0.00000   0.05000   0.05979       0.42093     0.48950
          Ex_d4      16           3.79149     3.79149     0.00000     0.00000   0.05000   0.05978       0.00000     0.45761
          Ex_d4      17           3.83917     3.83917     0.00000     0.00000   0.07419   0.00899       0.00000     0.26039
          Ex_d4      18           4.11590     4.11590     0.00000     0.00000   0.06240   0.01168       6.06327     1.14286
          Ex_d4      19           4.22580     4.22580     0.00000     0.00000   0.05000   0.05908       5.00279     1.25909
          Ex_d4      20           4.36015     4.36015     0.00000     0.00000   0.05001   0.05936       1.88684     2.33556
          Ex_d4      21           4.39810     4.39810     0.00000     0.00000   0.12000   0.05855       0.00000     8.28602
          Ex_d4      22           4.65200     4.65200     0.00000     0.00000   0.06183   0.00779       1.77715     1.03366
          Ex_d4      23           4.75300     4.75300     0.00000     0.00000   0.08390   0.05272       8.38950     1.75071
          Ex_d4      24           4.84830     4.84830     0.00000     0.00000   0.05000   0.05541       1.48495     1.86766
          Ex_d4      25           4.86000     4.86000     0.00000     0.00000   0.05000   0.05953       0.48975     1.25398
          Ex_d4      26           4.96360     4.96360     0.00000     0.00000   0.05695   0.01451       0.00003    23.72160
          Ex_d4      27           5.29760     5.29760     0.00000     0.00000   0.12000   0.05762       4.82511     1.67283
          Ex_d5       1           0.93720     0.90720     0.00062    -0.03000   0.05000   0.00037       0.71989     0.47180
          Ex_d5       2           1.04155     1.04155     0.00000     0.00000   0.05000   0.00021       0.00023     0.32524
          Ex_d5       3           1.08054     1.08054     0.00000     0.00000   0.05000   0.00030       0.00000     0.12749
