      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
          Ex_d3       5           1.12136     1.15136     0.00524     0.03000   0.11454   0.00599       0.00000     0.53186
          Ex_d3       6           1.40000     1.37000     0.00005    -0.03000   0.05000   0.00002      20.50280     1.98676
          Ex_d3       7           1.60000     1.57000     0.00001    -0.03000   0.05000   0.00001       0.00003     0.61414
          Ex_d3       8           1.90000     1.92018     0.05194     0.02018   0.05000   0.00002       0.04827     0.13194
          Ex_d3       9           1.70081     1.73081     0.00005     0.03000   0.05000   0.00001       0.09277     0.18669
          Ex_d3      10           2.10061     2.13061     0.00001     0.03000   0.05000   0.00001       0.06616     0.19189
          Ex_d3      11           2.52335     2.49335     0.00003    -0.03000   0.05000   0.00003       0.06602     0.13070
          Ex_d3      12           3.06184     3.07827     0.01884     0.01643   0.09214   0.01980       0.20630     0.22157
          Ex_d3      13           3.13387     3.10387     0.05249    -0.03000   0.05026   0.06985       4.20119     2.67602
          Ex_d3      14           3.35820     3.32820     0.00009    -0.03000   0.10688   0.05908       2.10535     3.39307
          Ex_d3      15           3.72419     3.70251     0.03342    -0.02168   0.05002   0.00023       1.12461     0.80181
          Ex_d3      16           3.83917     3.81605     0.03189    -0.02312   0.05000   0.00013       1.66023     1.44982
          Ex_d3      17           3.83917     3.84319     0.02058     0.00402   0.07887   0.02300       0.42102     3.96988
          Ex_d3      18           4.11590     4.11041     0.00911    -0.00549   0.06427   0.00990       9.42390     4.84116
          Ex_d3      19           4.22580     4.25439     0.04868     0.02859   0.05000   0.00008      14.38610     2.61876
          Ex_d3      20           4.36015     4.33015     0.00011    -0.03000   0.05000   0.00004       2.32018     1.11139
          Ex_d3      21           4.39810     4.42810     0.00010     0.03000   0.05000   0.00006       0.51742     0.89410
          Ex_d3      22           4.65200     4.63875     0.00920    -0.01325   0.06129   0.00659       1.01823     0.47260
          Ex_d3      23           4.75300     4.75593     0.04479     0.00293   0.05002   0.00482      23.51920     3.17522
          Ex_d3      24           4.86000     4.87830     0.00073     0.01830   0.05054   0.00065       3.66030     2.38815
          Ex_d3      25           4.86000     4.89000     0.00043     0.03000   0.05121   0.00136       0.00047     3.29072
          Ex_d3      26           4.96360     4.94266     0.01041    -0.02094   0.06825   0.00985       0.00837     1.69699
          Ex_d3      27           5.29760     5.29352     0.01759    -0.00408   0.05980   0.01274       9.81437     1.86269
          Ex_d4       1           0.00000    -0.02940     0.00090    -0.02940   0.05000   0.00009       0.94583     0.39589
          Ex_d4       2           0.93720     0.90785     0.05942    -0.02935   0.05000   0.00021       0.00717     1.45520
          Ex_d4       3           1.04155     1.01268     0.04749    -0.02887   0.05000   0.00019       0.22022     0.32005
          Ex_d4       4           1.12136     1.11027     0.00191    -0.01109   0.05000   0.00028       0.45767     0.65292
          Ex_d4       5           1.12136     1.15136     0.00047     0.03000   0.10418   0.02085       0.00084     0.37104
          Ex_d4       6           1.40000     1.37000     0.00866    -0.03000   0.05000   0.00058       6.29509     1.56828
          Ex_d4       7           1.60000     1.57000     0.00015    -0.03000   0.05000   0.00006       1.41253     0.56472
          Ex_d4       8           1.90000     1.92294     0.00866     0.02294   0.05000   0.00056       0.21548     0.19507
          Ex_d4       9           1.70081     1.73080     0.01165     0.02999   0.05000   0.00007       1.08777     2.02319
          Ex_d4      10           2.10061     2.08464     0.03554    -0.01597   0.11997   0.06534       0.34107     0.38229
          Ex_d4      11           2.52335     2.50433     0.03038    -0.01902   0.05447   0.06383       0.90032     0.99108
          Ex_d4      12           3.06184     3.03184     0.00107    -0.03000   0.05000   0.00041       0.31724     1.20002
          Ex_d4      13           3.13387     3.16387     0.03714     0.03000   0.05156   0.03837       1.38557     0.39955
          Ex_d4      14           3.35820     3.38820     0.03685     0.03000   0.05000   0.00020       1.71760     1.35522
          Ex_d4      15           3.72419     3.74360     0.03035     0.01941   0.05000   0.00035       0.58139     0.25490
          Ex_d4      16           3.83917     3.82149     0.00053    -0.01768   0.05000   0.00043       1.00344     0.90117
          Ex_d4      17           3.83917     3.86819     0.04893     0.02902   0.05830   0.01636       0.00060     1.25342
          Ex_d4      18           4.11590     4.09736     0.03472    -0.01854   0.05287   0.05567       5.34283     1.74313
          Ex_d4      19           4.22580     4.20077     0.05738    -0.02503   0.05995   0.05756       3.50621     4.30110
          Ex_d4      20           4.36015     4.33015     0.00043    -0.03000   0.05000   0.00019       3.47543     3.89085
          Ex_d4      21           4.39810     4.42810     0.00040     0.03000   0.11949   0.05095       0.07936     2.05864
          Ex_d4      22           4.65200     4.66079     0.00735     0.00879   0.06331   0.00748       1.69252     1.03761
          Ex_d4      23           4.75300     4.72300     0.00056    -0.03000   0.05000   0.00054       9.26076     1.57201
          Ex_d4      24           4.84830     4.82285     0.04573    -0.02545   0.05000   0.00045       0.02472     5.01883
          Ex_d4      25           4.86000     4.89000     0.00058     0.03000   0.05001   0.00038       0.47125     1.34410
          Ex_d4      26           4.96360     4.95772     0.01446    -0.00588   0.06926   0.05357       0.00023     1.74459
          Ex_d4      27           5.29760     5.31437     0.04497     0.01677   0.08091   0.03689       5.40979     4.51670
          Ex_d5       1           0.93720     0.90720     0.00000    -0.03000   0.05000   0.00000       0.60035     0.60813
          Ex_d5       2           1.04155     1.01277     0.00000    -0.02878   0.05002   0.00000       0.21096     0.00000
          Ex_d5       3           1.12136     1.10549     0.00000    -0.01587   0.05002   0.00000       0.01661     0.00000
          Ex_d5       4           1.12136     1.15136     0.00000     0.03000   0.09743   0.00000       0.00000     0.00000
          Ex_d5       5           1.40000     1.42429     0.00000     0.02429   0.05000   0.00000       3.26173     0.00000
          Ex_d5       6           1.60000     1.61665     0.00000     0.01665   0.05000   0.00000       0.54983     0.00000
          Ex_d5       7           1.90000     1.87000     0.00000    -0.03000   0.05000   0.00000       0.42573     0.00000
          Ex_d5       8           1.70081     1.73081     0.00000     0.03000   0.07930   0.00000       0.31579     0.00000
          Ex_d5       9           2.10061     2.13061     0.00000     0.03000   0.12000   0.00000       0.14675     0.00000
          Ex_d5      10           2.52335     2.55335     0.00000     0.03000   0.12000   0.00000       0.46990     0.00000
          Ex_d5      11           3.06184     3.09184     0.00000     0.03000   0.05000   0.00000       0.37307     0.00000
          Ex_d5      12           3.13387     3.10387     0.00000    -0.03000   0.12000   0.00000       1.00844     0.00000
          Ex_d5      13           3.35820     3.32833     0.00000    -0.02987   0.12000   0.00000       1.09009     0.00000
          Ex_d5      14           3.72419     3.69419     0.00000    -0.03000   0.12000   0.00000       1.12818     0.00000
          Ex_d5      15           3.79149     3.76233     0.00000    -0.02916   0.05000   0.00000       0.97452     0.00000
          Ex_d5      16           3.83917     3.86917     0.00000     0.03000   0.09040   0.00000       0.00000     0.00000
          Ex_d5      17           4.11590     4.14590     0.00000     0.03000   0.05135   0.00000       4.28517     0.00000
          Ex_d5      18           4.22580     4.25452     0.00000     0.02872   0.06325   0.00000       4.29230     0.00000
          Ex_d5      19           4.36015     4.33015     0.00000    -0.03000   0.05000   0.00000       1.76899     0.00000
          Ex_d5      20           4.39810     4.42810     0.00000     0.03000   0.05000   0.00000       0.05751     0.00000
          Ex_d5      21           4.65200     4.62200     0.00000    -0.03000   0.09630   0.00000       0.00000     0.00000
          Ex_d5      22           4.75300     4.72300     0.00000    -0.03000   0.05000   0.00000       4.13994     0.00000
          Ex_d5      23           4.84830     4.82971     0.00000    -0.01859   0.05000   0.00000       2.80756     0.00000
          Ex_d5      24           4.86000     4.89000     0.00000     0.03000   0.05041   0.00000       0.74991     0.00000
          Ex_d5      25           4.96360     4.97654     0.00000     0.01294   0.07724   0.00000       0.00000     0.00000
          Ex_d5      26           5.29760     5.26760     0.00000    -0.03000   0.05000   0.00000       4.81535     0.00000

