      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
          Ex_d4       2           0.93720     0.96720     0.04960     0.03000   0.06647   0.04297       0.00000     1.28740
          Ex_d4       3           1.08054     1.07155     0.05100    -0.00899   0.05000   0.05976       0.51870     0.73218
          Ex_d4       4           1.12136     1.15136     0.04110     0.03000   0.10607   0.01962       0.00000     1.52511
          Ex_d4       5           1.40000     1.37000     0.00826    -0.03000   0.05000   0.00505       6.45496     1.50663
          Ex_d4       6           1.60000     1.57000     0.04249    -0.03000   0.05000   0.04719       1.35976     0.57357
          Ex_d4       7           1.90000     1.92686     0.05495     0.02686   0.05000   0.05981       0.20667     0.27894
          Ex_d4       8           1.70081     1.73081     0.04948     0.03000   0.05000   0.05307       1.60476     3.96425
          Ex_d4       9           2.52335     2.49335     0.04442    -0.03000   0.12000   0.05120       0.33308     0.54408
          Ex_d4      10           3.06184     3.09184     0.04350     0.03000   0.09412   0.01456       0.55169     0.57044
          Ex_d4      11           3.35820     3.38820     0.03784     0.03000   0.05000   0.04308       3.10785     0.76884
          Ex_d4      12           3.72419     3.75419     0.04917     0.03000   0.05000   0.05425       0.53001     0.52400
          Ex_d4      13           3.83917     3.86917     0.04012     0.03000   0.05023   0.05081       1.35307     1.53710
          Ex_d4      14           4.11590     4.14230     0.00958     0.02640   0.08278   0.01017       4.73171     4.84073
          Ex_d4      15           4.39810     4.39015     0.04758    -0.00795   0.12000   0.05507       7.10054     1.29316
          Ex_d4      16           4.65200     4.66031     0.00686     0.00831   0.06575   0.00706       1.67770     0.99135
          Ex_d4      17           4.75300     4.72300     0.05124    -0.03000   0.05001   0.06016       9.55387     1.54044
          Ex_d4      18           4.96360     4.95241     0.01031    -0.01119   0.07766   0.01279       0.00000     4.78799
          Ex_d4      19           5.29760     5.31877     0.04819     0.02117   0.06500   0.04075       5.80399     1.37816
          Ex_d5       1           0.93720     0.90720     0.05050    -0.03000   0.05003   0.05947       0.54518     0.48246
          Ex_d5       2           1.04155     1.01204     0.04827    -0.02951   0.05000   0.05858       0.11107     0.23254
          Ex_d5       3           1.12136     1.15136     0.01109     0.03000   0.09153   0.01567       0.02051     1.23661
          Ex_d5       4           1.40000     1.42099     0.04442     0.02099   0.05000   0.01083       2.83894     0.75552
          Ex_d5       5           1.60000     1.62522     0.04731     0.02522   0.05000   0.01599       0.40912     0.25871
          Ex_d5       6           1.90000     1.87000     0.04504    -0.03000   0.05000   0.05462       0.29988     0.22629
          Ex_d5       7           1.70081     1.67081     0.05116    -0.03000   0.05000   0.05975       0.19655     0.36778
          Ex_d5       8           2.52335     2.55335     0.05111     0.03000   0.05000   0.05992       0.00000     0.58124
          Ex_d5       9           3.06184     3.09184     0.04082     0.03000   0.05730   0.01563       0.00132     3.03769
          Ex_d5      10           3.35820     3.32820     0.04304    -0.03000   0.12000   0.05531       1.58770     0.68350
          Ex_d5      11           3.72419     3.69419     0.04514    -0.03000   0.08704   0.05323       1.14256     0.65966
          Ex_d5      12           3.83917     3.86917     0.00803     0.03000   0.07570   0.01370       0.84113     0.72509
          Ex_d5      13           4.11590     4.14590     0.00224     0.03000   0.06296   0.00999       3.79749     1.00881
          Ex_d5      14           4.36015     4.33015     0.00709    -0.03000   0.05000   0.01028       5.27718     1.23085
          Ex_d5      15           4.65200     4.66783     0.04916     0.01583   0.10723   0.01621       0.59296     0.34705
          Ex_d5      16           4.75300     4.72300     0.04334    -0.03000   0.05001   0.05632       5.52212     1.94904
          Ex_d5      17           4.96360     4.97260     0.01664     0.00900   0.07813   0.01445       1.72861     2.40539
          Ex_d5      18           5.29760     5.26760     0.04668    -0.03000   0.05000   0.05564       4.75221     1.19636

